Country,Manufacturing Score,Manfacturing Score Adjusted,MVA,Relative MVA
Bahrain,64.75,0.6661522634,9533750000,0.0005479744674
China,95.50,1,4658790000000,0.2677747968
Georgia,74.50,0.7664609053,2571597244,0.000147808536
India,81.50,0.8384773663,440058000000,0.02529335762
Indonesia,73.50,0.7561728395,255962000000,0.0147120116
Iran,60.50,0.6224279835,78543243411,0.004514455694
Israel,86.00,0.8847736626,60274207928,0.003464400366
Japan,92.50,1,818398000000,0.04703932956
Kazakhstan,72.50,0.7458847737,32175507108,0.001849362147
Kuwait,57.75,0.5941358025,12489137696,0.0007178422527
Kyrgyzstan,56.50,0.5812757202,1762863981,0.0001013247097
Malaysia,84.75,0.8719135802,92001501433,0.005288000393
Mongolia,55.75,0.5735596708,1280093920,0.00007357637698
Myanmar,62.25,0.6404320988,14596836625,0.0008389871535
Nepal,57.25,0.5889917695,1870164520,0.0001074920579
Pakistan,71.25,0.7330246914,45946890612,0.002640904462
Philippines,71.25,0.7330246914,70896293017,0.004074929425
Qatar,72.75,0.7484567901,18456064523,0.001060805258
Saudi Arabia,74.25,0.7638888889,157875000000,0.009074233018
Singapore,71.75,0.7381687243,88498376859,0.005086650156
South Korea,84.25,0.8667695473,416389000000,0.02393292676
Sri Lanka,67.25,0.691872428,15116009042,0.0008688277964
Taiwan,82.50,0.8487654321,236980000000,0.01362097698
Tajikistan,57.25,0.5889917695,1622099387,0.00009323393708
Thailand,77.25,0.7947530864,128286000000,0.007373536386
Timor-Leste,72.25,0.7433127572,34214600,0.000001966563756
Turkmenistan,65.25,0.6712962963,3022000000,0.0001736964825
United Arab Emirates,72.50,0.7458847737,55761508810,0.003205022482
Uzbekistan,62.25,0.6404320988,19175683390,0.001102167027
Vietnam,67.75,0.6970164609,102628000000,0.005898783127
Andorra,80.85,0.8317901235,128595277.9,0.000007391312853
Austria,73.95,0.7608024691,81214734288,0.004668005849
Belarus,61.40,0.6316872428,16533792209,0.0009503181832
Belgium,57.05,0.5869341564,72566640760,0.004170936549
Bosnia and Herzegovina,58.50,0.6018518519,3665022112,0.0002106556748
Bulgaria,67.65,0.6959876543,10030000000,0.000576497591
Croatia,59.25,0.6095679012,10226465134,0.0005877898817
Czech Republic,77.90,0.8014403292,68700165555,0.003948701888
Denmark,75.50,0.7767489712,64967849399,0.003734178332
Estonia,64.35,0.662037037,4919463012,0.0002827575848
Finland,70.10,0.7211934156,44136304104,0.002536836789
France,97.20,1,296997000000,0.01707059372
Germany,91.00,1,838894000000,0.04821738485
Greece,63.95,0.6579218107,21258797615,0.001221898865
Hungary,73.15,0.7525720165,36403083270,0.002092351925
Iceland,79.75,0.820473251,2991776511,0.0001719593172
Ireland,58.05,0.5972222222,162320000000,0.009329719737
Italy,88.90,0.9146090535,353622000000,0.02032524737
Latvia,77.50,0.7973251029,4760654926,0.0002736297205
Liechtenstein,63.90,0.6574074074,2717416282,0.0001561898245
Lithuania,58.55,0.6023662551,11630980640,0.0006685176789
Luxembourg,56.65,0.58281893,3028445285,0.0001740669403
Monaco,65.85,0.6774691358,0,0
Montenegro,71.65,0.7371399177,239191746.6,0.00001374810226
Netherlands,89.10,0.9166666667,125146000000,0.007193057579
North Macedonia,67.65,0.6959876543,1837014373,0.000105586676
Poland,70.65,0.7268518519,135621000000,0.007795132581
Portugal,79.55,0.8184156379,34316560866,0.001972424194
Romania,66.30,0.6820987654,44274796144,0.002544796941
Russia,65.85,0.6774691358,251577000000,0.01445997352
Slovakia,69.50,0.7150205761,27560922072,0.001584128133
Spain,68.95,0.7093621399,176454000000,0.01014210428
Sweden,86.85,0.8935185185,83010048140,0.004771195691
Turkey,73.85,0.7597736626,218581000000,0.01256345164
Ukraine,59.70,0.6141975309,14742298642,0.0008473479215
United Kingdom,95.95,1,2497130000000,0.1435283579
Vatican City,74.30,0.7644032922,0,0
Canada,87.25,0.8976337449,149268000000,0.008579525664
Costa Rica,64.70,0.6656378601,11779970857,0.0006770812383
Guatemala,57.20,0.5884773663,14612373761,0.0008398801866
Jamaica,55.95,0.575617284,1545069194,0.00008880644748
Mexico,76.70,0.7890946502,358917000000,0.02062958982
Panama,62.10,0.6388888889,4151050500,0.0002385912875
Trinidad and Tobago,59.60,0.6131687243,6684398210,0.0003842013425
United States,94.40,1,2497130000000,0.1435283579
Argentina,62.25,0.6404320988,105423000000,0.006059432256
Brazil,69.25,0.7124485597,289790000000,0.01665635462
Chile,61.00,0.6275720165,30889595029,0.001775451358
Colombia,61.25,0.6301440329,39636796962,0.002278217145
Paraguay,56.50,0.5812757202,8346526990,0.0004797360621
Peru,67.25,0.691872428,33943351000,0.001950973089
Suriname,55.75,0.5735596708,884882353.2,0.00005086067247
Uruguay,62.25,0.6404320988,7304991301,0.0004198713746
Australia,76.50,0.787037037,92667151261,0.005326260166
New Zealand,74.50,0.7664609053,22348988542,0.001284560125
Algeria,57.00,0.5864197531,23017840759,0.001323003963
Egypt,66.75,0.6867283951,59002885268,0.003391328137
Morocco,59.50,0.6121399177,20927856682,0.001202877264
South Africa,76.00,0.7818930041,49348135515,0.002836398927
Tunisia,62.00,0.6378600823,7347709936,0.0004223267275
