Country Name,Country Code,Labour Force (2024),Region,%ECW ILO,%ECW Poll,ECW ILO,ECW Poll
Aruba,ABW,55826.0,Caribbean,0.34392050619146664,0.1393630383462802,19199.706178644818,7780.0809787194385
Afghanistan,AFG,9130000.0,Southern Asia,0.307967921463882,0.12393255575534025,2811747.1229652427,1131504.2340462564
Angola,AGO,16000000.0,Middle Africa,0.2756292281453454,0.0748521907964122,4410067.6503255265,1197635.052742595
Albania,ALB,1370000.0,Southern Europe,0.338142203439091,0.1510294707557507,463254.8187115547,206910.37493537847
Andorra,AND,50504.0,Southern Europe,0.3159303674086506,0.11364914953050832,15955.74727560649,5739.7366478887925
United Arab Emirates,ARE,7090000.0,Western Asia,0.30420926373044305,0.1193440840484567,2156843.6798488414,846149.555903558
Argentina,ARG,22300000.0,South America,0.36679607310625945,0.11285360076498623,8179552.430269586,2516635.297059193
Armenia,ARM,1510000.0,Western Asia,0.2972543373325886,0.13831676143979496,448854.04937220877,208858.3097740904
American Samoa,ASM,55958.0,Polynesia,0.2904191370188696,0.1205967525949353,16251.274069301906,6748.35308170739
Antigua and Barbuda,ATG,46540.0,Caribbean,0.24778634061127813,0.15197252382683882,11531.976292048885,7072.801258901079
Australia,AUS,14900000.0,Australia and New Zealand,0.2926016834102728,0.1313166609687423,4359765.082813065,1956618.2484342605
Austria,AUT,4770000.0,Western Europe,0.3265283865508115,0.1492903132981087,1557540.403847371,712114.7944319786
Azerbaijan,AZE,5020000.0,Western Asia,0.2563664712260862,0.1256040521238392,1286959.6855549526,630532.3416616728
Burundi,BDI,6110000.0,Eastern Africa,0.08077167140367233,0.025377988791456987,493514.912276438,155059.51151580218
Belgium,BEL,5420000.0,Western Europe,0.289580862085662,0.12912181643141607,1569528.2725042882,699840.2450582751
Benin,BEN,6400000.0,Western Africa,0.44895322882631233,0.14629035666604467,2873300.664488399,936258.282662686
Burkina Faso,BFA,6460000.0,Western Africa,0.23954770897113212,0.07405694912210053,1547478.1999535135,478407.89132876944
Bangladesh,BGD,77400000.0,Southern Asia,0.3698668358458238,0.19863085046487897,28627693.09446676,15374027.825981632
Bulgaria,BGR,3120000.0,Eastern Europe,0.3526200742420286,0.15210126123067486,1100174.6316351292,474555.93503970554
Bahrain,BHR,913000.0,Western Asia,0.30420926373044305,0.1193440840484567,277743.0577858945,108961.14873624097
Bahamas,BHS,237000.0,Caribbean,0.3716115421748564,0.1265316089971633,88071.93549544098,29987.9913323277
Bosnia and Herzegovina,BIH,1360000.0,Southern Europe,0.3367126369683655,0.14421773405895527,457929.18627697707,196136.11832017917
Belarus,BLR,4820000.0,Eastern Europe,0.3017127361637457,0.1530587446909961,1454255.3883092543,737743.1494106011
Belize,BLZ,190000.0,Central America,0.416641676933769,0.14435814262936328,79161.91861741612,27428.047099579024
Bermuda,BMU,52878.0,Northern America,0.34392050619146664,0.1393630383462802,18185.82852639237,7369.238741674604
Bolivia,BOL,6860000.0,South America,0.4274055161168395,0.16678875715046834,2932001.840561519,1144170.8740522128
Brazil,BRA,107000000.0,South America,0.39137920634457984,0.13705048720678156,41877575.07887004,14664402.131125627
Barbados,BRB,147000.0,Caribbean,0.34287394841820457,0.11896014409889064,50402.47041747607,17487.141182536925
Brunei Darussalam,BRN,234000.0,South-eastern Asia,0.35809287258341577,0.14577156389196338,83793.7321845193,34110.54595071943
