Region,ECW ILO,ECW Poll
Australia and New Zealand,5272682.335053116,2366326.230656737
Caribbean,6734296.06721502,2247684.467115691
Central America,33415905.134785317,10923318.866700206
Central Asia,9548739.915443717,4395988.857355875
Eastern Africa,54309559.54418385,25738740.832017407
Eastern Asia,329015717.5319093,134092819.14895885
Eastern Europe,46852507.31838584,23045909.42197508
Melanesia,1612686.0705401478,619307.0721766102
Micronesia,58649.85230060638,22465.155989391136
Middle Africa,19642365.126446158,9369414.165965527
Northern Africa,29083187.54750491,12017417.088006169
Northern America,59574959.53733881,27021499.690403815
Northern Europe,16409269.51275886,7483207.199900714
Polynesia,81726.22140170679,33569.248864419285
South America,83849137.47564703,29355576.044214904
South-eastern Asia,138751588.10571167,54372909.613156706
Southern Africa,10510153.682766993,3414561.802043886
Southern Asia,291437633.4664503,152774497.50997394
Southern Europe,24154390.277890787,10239034.915538266
Western Africa,47388451.3857239,17250123.735244133
Western Asia,39023759.739726484,15940387.24545807
Western Europe,31147287.387215152,14939192.979797332
