Region,Percentage after 1 Year
Australia and New Zealand,0.3864754455714635
Caribbean,0.09047952056011187
Central America,0.26255501041024676
Central Asia,0.09243882570450883
Eastern Africa,0.00034724292567159384
Eastern Asia,0.4767567705830016
Eastern Europe,0.181051137196055
Melanesia,0.0028982332233731837
Micronesia,0.017609380286706434
Middle Africa,6.332446226603382e-05
Northern Africa,0.05408045587566065
Northern America,1.0218382538841222
Northern Europe,0.739337395483572
Polynesia,0.011783302550047663
South America,0.11167957520602034
South-eastern Asia,0.10534889709477083
Southern Africa,0.14952272797936514
Southern Asia,0.03739199000746242
Southern Europe,0.476791128952953
Western Africa,0.017991069021255402
Western Asia,0.16222458793943578
Western Europe,0.9826477850491979
