,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aruba,7780,19199,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030,0.0085+/-0.0030
Afghanistan,1131504,2811747,0.0,(1.8+/-1.0)e-05,(4.1+/-2.2)e-05,(7+/-4)e-05,0.00017+/-0.00006,0.00023+/-0.00009,0.00035+/-0.00015,0.00041+/-0.00018,0.00045+/-0.00021,0.00048+/-0.00022,0.00050+/-0.00023,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024,0.00052+/-0.00024
Angola,1197635,4410067,0.0,0.0+/-0,0.0+/-0,0.0+/-0,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05,(5.5+/-1.9)e-05
Albania,206910,463254,0.0,0.00012+/-0.00006,0.00027+/-0.00014,0.00045+/-0.00024,0.0010+/-0.0004,0.0014+/-0.0006,0.0022+/-0.0010,0.0026+/-0.0012,0.0029+/-0.0013,0.0030+/-0.0014,0.0032+/-0.0015,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016,0.0033+/-0.0016
Andorra,5739,15955,0.0,0.00036+/-0.00019,0.0008+/-0.0004,0.0013+/-0.0007,0.014+/-0.004,0.015+/-0.004,0.017+/-0.005,0.018+/-0.005,0.019+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006,0.020+/-0.006
United Arab Emirates,846149,2156843,0.0,0.0010+/-0.0006,0.0024+/-0.0012,0.0039+/-0.0021,0.0064+/-0.0033,0.017+/-0.005,0.031+/-0.009,0.041+/-0.011,0.051+/-0.012,0.059+/-0.014,0.068+/-0.015,0.076+/-0.016,0.083+/-0.016,0.090+/-0.017,0.097+/-0.017,0.104+/-0.018,0.111+/-0.019,0.118+/-0.019,0.126+/-0.020,0.133+/-0.021,0.140+/-0.022,0.147+/-0.022,0.154+/-0.023,0.161+/-0.024,0.168+/-0.025,0.175+/-0.026,0.182+/-0.027,0.189+/-0.028,0.196+/-0.029,0.204+/-0.029,0.211+/-0.030,0.218+/-0.031,0.225+/-0.032,0.232+/-0.033,0.239+/-0.034,0.246+/-0.035,0.25+/-0.04,0.26+/-0.04,0.27+/-0.04,0.27+/-0.04,0.28+/-0.04,0.29+/-0.04,0.30+/-0.04,0.30+/-0.04,0.31+/-0.04,0.32+/-0.04,0.32+/-0.05,0.33+/-0.05,0.34+/-0.05,0.35+/-0.05,0.35+/-0.05,0.36+/-0.05,0.37+/-0.05
Argentina,2516635,8179552,0.0,0.00064+/-0.00034,0.0014+/-0.0008,0.0024+/-0.0013,0.0046+/-0.0021,0.0067+/-0.0032,0.011+/-0.005,0.017+/-0.006,0.022+/-0.007,0.027+/-0.008,0.032+/-0.008,0.036+/-0.009,0.040+/-0.009,0.044+/-0.009,0.048+/-0.010,0.052+/-0.010,0.055+/-0.010,0.059+/-0.011,0.063+/-0.011,0.067+/-0.011,0.071+/-0.012,0.075+/-0.012,0.079+/-0.012,0.083+/-0.013,0.086+/-0.013,0.090+/-0.014,0.094+/-0.014,0.098+/-0.015,0.102+/-0.015,0.106+/-0.016,0.110+/-0.016,0.114+/-0.017,0.117+/-0.017,0.121+/-0.018,0.125+/-0.018,0.129+/-0.019,0.133+/-0.019,0.137+/-0.020,0.141+/-0.020,0.144+/-0.021,0.148+/-0.021,0.152+/-0.022,0.156+/-0.022,0.160+/-0.023,0.164+/-0.023,0.168+/-0.024,0.172+/-0.024,0.175+/-0.025,0.179+/-0.025,0.183+/-0.026,0.187+/-0.026,0.191+/-0.027,0.195+/-0.028
Armenia,208858,448854,0.0,0.00019+/-0.00010,0.00043+/-0.00023,0.0007+/-0.0004,0.0015+/-0.0006,0.0021+/-0.0009,0.0033+/-0.0016,0.0040+/-0.0019,0.0044+/-0.0021,0.0047+/-0.0023,0.0049+/-0.0024,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025,0.0051+/-0.0025
American Samoa,6748,16251,0.0,0.0+/-0,0.0+/-0,0.0+/-0,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034,0.0098+/-0.0034
Antigua and Barbuda,7072,11531,0.0,0.00012+/-0.00006,0.00026+/-0.00014,0.00044+/-0.00023,0.0100+/-0.0033,0.0104+/-0.0033,0.0112+/-0.0034,0.0115+/-0.0035,0.0118+/-0.0035,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004,0.012+/-0.004
