Country,Weeks
Aruba,158
Afghanistan,158
Angola,158
Albania,158
Andorra,158
United Arab Emirates,143
Argentina,158
Armenia,158
American Samoa,158
Antigua and Barbuda,158
Australia,158
Austria,82
Azerbaijan,158
Burundi,158
Belgium,118
Benin,158
Burkina Faso,158
Bangladesh,158
Bulgaria,158
Bahrain,122
Bahamas,158
Bosnia and Herzegovina,158
Belarus,158
Belize,158
Bermuda,158
Bolivia,158
Brazil,158
Barbados,158
Brunei Darussalam,158
Bhutan,158
Botswana,158
Central African Republic,158
Canada,158
Switzerland,60
Chile,158
China,158
Cote d'Ivoire,158
Cameroon,158
DR Congo,158
Congo Republic,158
Colombia,158
Comoros,158
Cabo Verde,158
Costa Rica,158
Cuba,158
Curacao,158
Cayman Islands,158
Cyprus,158
Czechia,117
Germany,51
Djibouti,158
Dominica,158
Denmark,66
Dominican Republic,158
Algeria,158
Ecuador,158
Egypt,158
Eritrea,158
Spain,158
Estonia,158
Ethiopia,158
Finland,98
Fiji,158
France,103
Faroe Islands,158
"Micronesia, Fed. Sts.",158
Gabon,158
United Kingdom,8
Georgia,158
Ghana,158
Gibraltar,158
Guinea,158
Gambia,158
Guinea-Bissau,158
Equatorial Guinea,158
Greece,158
Grenada,158
Greenland,158
Guatemala,158
Guam,158
Guyana,158
Hong Kong,158
Honduras,158
Croatia,158
Haiti,158
Hungary,158
Indonesia,158
Isle of Man,158
India,158
Ireland,31
Iran,158
Iraq,158
Iceland,94
Israel,68
Italy,81
Jamaica,158
Jordan,158
Japan,65
Kazakhstan,158
Kenya,158
Kyrgyz Republic,158
Cambodia,158
Kiribati,158
St. Kitts and Nevis,158
South Korea,76
Kuwait,158
Laos,158
Lebanon,158
Liberia,158
Libya,158
St. Lucia,158
Liechtenstein,158
Sri Lanka,158
Lesotho,158
Lithuania,158
Luxembourg,158
Latvia,158
Macau,158
Saint-Martin,158
Morocco,158
Monaco,158
Moldova,158
Madagascar,158
Maldives,158
Mexico,158
Marshall Islands,158
North Macedonia,158
Mali,158
Malta,158
Myanmar,158
Montenegro,158
Mongolia,158
Northern Mariana Islands,158
Mozambique,158
Mauritania,158
Mauritius,158
Malawi,158
Malaysia,158
Namibia,158
New Caledonia,158
Niger,158
Nigeria,158
Nicaragua,158
Netherlands,76
Norway,158
Nepal,158
Nauru,158
New Zealand,158
Oman,158
Pakistan,158
Panama,158
Peru,158
Philippines,158
Palau,158
Papua New Guinea,158
Poland,158
Puerto Rico,158
North Korea,158
Portugal,158
Paraguay,158
Palestine,158
French Polynesia,158
Qatar,129
Romania,158
Russia,158
Rwanda,158
Saudi Arabia,120
Sudan,158
Senegal,158
Singapore,11
Solomon Islands,158
Sierra Leone,158
El Salvador,158
San Marino,158
Somalia,158
Serbia,158
South Sudan,158
Sao Tome and Principe,158
Suriname,158
Slovakia,158
Slovenia,153
Sweden,79
Eswatini,158
Sint Maarten,158
Seychelles,158
Syria,158
Turks and Caicos Islands,158
Chad,158
Togo,158
Thailand,158
Tajikistan,158
Turkmenistan,158
Timor-Leste,158
Tonga,158
Trinidad and Tobago,125
Tunisia,158
Türkiye,158
Tuvalu,158
Tanzania,158
Uganda,158
Ukraine,158
Uruguay,158
United States,60
Uzbekistan,158
St. Vincent and the Grenadines,158
Venezuela,158
British Virgin Islands,158
United States Virgin Islands,158
Vietnam,158
Vanuatu,158
Samoa,158
Kosovo,158
Yemen,158
South Africa,158
Zambia,158
Zimbabwe,158
Caribbean,158
Global,158
Southern Asia,158
Middle Africa,158
Southern Europe,138
Western Asia,158
South America,158
Polynesia,158
Australia and New Zealand,158
Western Europe,68
Eastern Africa,158
Western Africa,158
Eastern Europe,158
Central America,158
Northern America,65
South-eastern Asia,158
Southern Africa,158
Eastern Asia,150
Northern Europe,15
Northern Africa,158
Melanesia,158
Micronesia,158
Central Asia,158
